,id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,open_acc,pub_rec,revol_util,total_acc,initial_list_status,application_type
16278,59493140,63426922,13550,13550,13550.0,0,25.78,544.53,F,29,Store Manager,9,2,80000.0,Source Verified,12,1,https://lendingclub.com/browse/loanDetail.action?loan_id=59493140,,other,Other,307xx,GA,16.68,0,Aug-06,1,10,0,55.4,13,1,INDIVIDUAL
16292,1099031,1331055,1200,1200,1200.0,0,7.51,37.37,A,2,JC Penney,1,2,8400.0,Not Verified,56,1,https://lendingclub.com/browse/loanDetail.action?loan_id=1099031,Borrower added on 01/07/12 > money network is a pay card that i use for direct depoit to my card.  this money will be used to purchase a friends airline ticket back home<br>,other,Other,724xx,AR,16.75,0,Dec-88,1,11,0,9.6,24,0,INDIVIDUAL
16293,1415919,1665898,35000,35000,35000.0,1,18.75,903.45,D,17,USMC,10,0,96000.0,Verified,50,1,https://lendingclub.com/browse/loanDetail.action?loan_id=1415919,Borrower added on 07/10/12 > I will be consolidating my 5 personal unsecure loans totalling nearly $20K which is costing ly over $1500/month. also will finish paying a pre-paid funeral escrow ($5K) for my ailing grandmother and with the remainder pay down credit cards used for funding for my business ($10K).<br>,debt_consolidation,Consolidate,922xx,CA,24.4,0,Mar-94,3,17,0,74.8,48,0,INDIVIDUAL
16295,3806779,4850482,21725,21725,21725.0,1,23.63,620.45,F,27,Braeburn Alloy Steel,10,2,49000.0,Verified,42,1,https://lendingclub.com/browse/loanDetail.action?loan_id=3806779,,credit_card,Credit card refinancing,150xx,PA,28.43,0,Oct-96,1,15,0,84.6,21,0,INDIVIDUAL
16306,4034974,5167196,21600,21600,21550.0,1,23.63,616.84,F,27,saint-gobain performance plastics,2,0,48000.0,Verified,41,1,https://lendingclub.com/browse/loanDetail.action?loan_id=4034974,Borrower added on 03/28/13 > i would like to consolidate my bills to a lower monthly payment due to unexpected expenses<br>,credit_card,consolidate,446xx,OH,19.56,0,Dec-01,3,8,0,37.9,22,0,INDIVIDUAL
16329,7934739,4856285,11700,11700,11650.0,0,11.99,388.75,B,7,Coty Inc.,-1,0,33908.0,Verified,35,1,https://lendingclub.com/browse/loanDetail.action?loan_id=7934739,Borrower added on 12/16/10 > This is to help me pay of credit card debt faster and save money on interest.<br/>,credit_card,Credit card refinancing,492xx,MI,31.53,0,Feb-95,1,9,0,51.6,16,0,INDIVIDUAL
16331,75780083,81247856,5000,5000,5000.0,0,12.99,168.12,C,11,Swing Manager,3,0,16000.0,Source Verified,6,1,https://lendingclub.com/browse/loanDetail.action?loan_id=75780083,,major_purchase,Major purchase,486xx,MI,15.06,0,Feb-13,1,6,0,54.0,7,1,INDIVIDUAL
16349,10638684,12510638,4900,4900,4900.0,0,12.85,164.71,B,8,RN,10,2,75000.0,Not Verified,32,1,https://lendingclub.com/browse/loanDetail.action?loan_id=10638684,Borrower added on 01/19/14 > To pay off various debt accounts that were created due to repairs and consumer debt. One lower payment will be much easier to deal with.<br><br> Borrower added on 01/19/14 > To consolidate repairs and consumer debt. One payment will easier<br>,debt_consolidation,Debt consolidation,379xx,TN,13.53,0,Mar-02,1,6,1,78.1,19,0,INDIVIDUAL
16357,59121617,63009407,26400,26400,26400.0,1,13.99,613.94,C,13,cptain,10,2,95000.0,Verified,12,1,https://lendingclub.com/browse/loanDetail.action?loan_id=59121617,"Borrower added on 08/08/11 > Had to replace an old, rotten patio cover.  Got funding from GE at 9.5% and I see I can get a better rate from you.<br/>",debt_consolidation,Debt consolidation,356xx,AL,25.51,0,Dec-01,0,28,0,24.2,60,1,INDIVIDUAL
16358,52729120,56238870,25000,25000,25000.0,1,18.25,638.24,E,20,clerk,10,0,57987.0,Source Verified,15,1,https://lendingclub.com/browse/loanDetail.action?loan_id=52729120,,debt_consolidation,Debt consolidation,060xx,CT,31.72,1,Dec-97,0,13,0,47.3,31,1,INDIVIDUAL
16360,5114930,6437178,18075,18075,18075.0,1,13.68,417.61,C,10,NCO Financial,10,2,41000.0,Verified,38,1,https://lendingclub.com/browse/loanDetail.action?loan_id=5114930,"Borrower added on 07/18/13 > My loan is to help secure a more stable financial environment for me. I had ran into a tough time many years ago and lived on a credit card with an extremely high interest rate. Now I figure if I'm paying this amount each month, it should be with a lower APR. Lending club has allowed me that option.<br>",debt_consolidation,Get old credit card debt under control,492xx,MI,17.54,0,Jan-96,0,6,0,75.1,16,0,INDIVIDUAL
16367,75839077,81306818,20000,20000,20000.0,0,11.99,664.45,C,10,Executive Assistant,1,2,48000.0,Verified,6,1,https://lendingclub.com/browse/loanDetail.action?loan_id=75839077,,debt_consolidation,Debt consolidation,974xx,OR,25.34,1,Sep-03,0,11,1,59.9,33,1,INDIVIDUAL
16376,68693504,73617286,16800,16800,16800.0,1,19.48,440.49,E,21,Sales,1,0,80000.0,Not Verified,8,1,https://lendingclub.com/browse/loanDetail.action?loan_id=68693504,,credit_card,Credit card refinancing,631xx,MO,22.76,0,Jan-06,1,8,0,79.6,18,0,INDIVIDUAL
16385,1485401,1744352,35000,35000,35000.0,1,21.98,966.38,E,23,paramont coal co of va,8,2,130000.0,Source Verified,49,1,https://lendingclub.com/browse/loanDetail.action?loan_id=1485401,Borrower added on 11/12/10 > This will pay off all the wonderful things I had to have.  NOT...  18K of lessons learned.<br/> Borrower added on 11/16/10 > This is the last step to having everything in place to be dept free in 36 months or less.  Thanks for helping this along.<br/>,debt_consolidation,debt consolidation,242xx,VA,12.79,0,Oct-00,0,15,0,58.7,32,0,INDIVIDUAL
16391,1531473,1795617,18000,18000,18000.0,1,19.72,474.12,D,19,Northrop Grumman,5,0,127000.0,Verified,48,1,https://lendingclub.com/browse/loanDetail.action?loan_id=1531473,,debt_consolidation,My Recovery,357xx,AL,17.49,1,Nov-93,0,13,0,91.3,34,0,INDIVIDUAL
16410,73355634,78653368,6000,6000,6000.0,0,21.97,229.01,E,23,Community Liaison,-1,1,20000.0,Verified,6,1,https://lendingclub.com/browse/loanDetail.action?loan_id=73355634,,moving,Moving and relocation,773xx,TX,45.62,0,Jan-07,3,11,2,37.9,28,0,DIRECT_PAY
16422,55179949,58750718,35000,35000,35000.0,0,19.19,1286.03,E,22,VP,10,1,180000.0,Verified,14,1,https://lendingclub.com/browse/loanDetail.action?loan_id=55179949,,major_purchase,Major purchase,444xx,OH,13.04,1,Sep-89,1,22,0,3.0,28,1,INDIVIDUAL
16446,26178068,28651078,14000,14000,14000.0,1,13.98,325.17,C,12,nurse,4,2,65000.0,Not Verified,24,1,https://lendingclub.com/browse/loanDetail.action?loan_id=26178068,,debt_consolidation,Debt consolidation,060xx,CT,30.35,0,Aug-06,0,11,0,28.0,15,1,INDIVIDUAL
16456,492422,629746,15000,15000,14875.0,0,10.62,488.54,B,7,Adult Probation officer,3,0,75000.0,Not Verified,78,1,https://lendingclub.com/browse/loanDetail.action?loan_id=492422,,credit_card,Consolidating CC's previously used for prosecution of alleged child molestor,549xx,WI,7.71,0,Jul-00,1,6,0,29.77,18,0,INDIVIDUAL
16460,23894556,26267348,12000,12000,12000.0,0,12.49,401.69,B,9,truck driver,6,2,50000.0,Source Verified,25,1,https://lendingclub.com/browse/loanDetail.action?loan_id=23894556,,debt_consolidation,Debt consolidation,975xx,OR,23.36,0,Feb-93,0,7,0,94.5,19,0,INDIVIDUAL
16461,4526720,5788959,35000,35000,35000.0,1,23.28,992.47,F,26,Sysco Foods,7,2,90000.0,Verified,40,1,https://lendingclub.com/browse/loanDetail.action?loan_id=4526720,,credit_card,Credit card refinancing,190xx,PA,5.44,0,Oct-00,1,8,0,71.7,20,1,INDIVIDUAL
16469,7690203,9391554,8400,8400,8400.0,0,14.3,288.47,C,10,Program Manager,3,2,154822.0,Verified,35,1,https://lendingclub.com/browse/loanDetail.action?loan_id=7690203,,other,Panama,221xx,VA,30.01,0,Jul-90,0,23,0,49.1,50,0,INDIVIDUAL
16479,11396389,13318582,10000,10000,10000.0,0,10.99,327.1,B,6,Administrave Assistant,1,2,33280.0,Verified,31,1,https://lendingclub.com/browse/loanDetail.action?loan_id=11396389,,debt_consolidation,Debt consolidation,217xx,MD,13.39,1,Jul-85,0,9,0,51.1,20,1,INDIVIDUAL
16482,48716485,51965303,25000,25000,25000.0,0,14.65,862.56,C,14,Director,7,2,75000.0,Source Verified,16,1,https://lendingclub.com/browse/loanDetail.action?loan_id=48716485,,debt_consolidation,Debt consolidation,607xx,IL,31.47,1,Dec-01,2,15,0,66.6,21,0,INDIVIDUAL
16495,10167667,12019444,35000,35000,35000.0,0,14.98,1213.02,C,12,Operator,10,2,80000.0,Verified,33,1,https://lendingclub.com/browse/loanDetail.action?loan_id=10167667,,debt_consolidation,composite cash,365xx,AL,21.08,0,Feb-99,1,12,0,73.7,35,0,INDIVIDUAL
16502,12389335,14401454,28000,28000,28000.0,1,15.61,674.89,C,14,Dietitian,10,2,71000.0,Source Verified,30,1,https://lendingclub.com/browse/loanDetail.action?loan_id=12389335,"Borrower added on 03/05/14 > I would like to consolidate all of my current debt.  This would include Discover Personal Loan, Citi credit card, Wells Fargo credit card, Macy's, Dillard's, Limited, and QVC.<br>",debt_consolidation,Debt consolidation,446xx,OH,16.54,0,Dec-99,0,11,0,45.4,27,1,INDIVIDUAL
16516,39680453,42504204,22500,22500,22500.0,1,23.99,647.18,F,26,Teacher,10,0,100000.0,Verified,20,1,https://lendingclub.com/browse/loanDetail.action?loan_id=39680453,,debt_consolidation,Debt consolidation,928xx,CA,20.96,1,Mar-95,2,7,0,83.4,52,0,INDIVIDUAL
16520,71033196,76134949,9275,9275,9275.0,0,21.18,350.29,E,22,Services Business Specialist,4,1,32000.0,Verified,7,1,https://lendingclub.com/browse/loanDetail.action?loan_id=71033196,,debt_consolidation,Debt consolidation,325xx,FL,24.07,0,Apr-08,0,7,0,97.3,14,0,INDIVIDUAL
16548,32099439,34702720,10000,10000,10000.0,0,14.49,344.49,C,13,street maintenance,10,0,30000.0,Source Verified,23,1,https://lendingclub.com/browse/loanDetail.action?loan_id=32099439,,debt_consolidation,Debt consolidation,280xx,NC,27.17,0,Feb-08,0,7,0,46.8,8,1,INDIVIDUAL
16553,12846851,14868969,28000,28000,28000.0,0,14.16,959.49,C,11,General Manager,2,1,195000.0,Verified,29,1,https://lendingclub.com/browse/loanDetail.action?loan_id=12846851,,credit_card,Credit card refinancing,904xx,CA,10.79,1,Jan-92,0,11,0,73.5,15,0,INDIVIDUAL
16565,19236025,21438789,13600,13600,13600.0,1,19.52,357.1,E,21,accountant,1,2,38000.0,Source Verified,27,1,https://lendingclub.com/browse/loanDetail.action?loan_id=19236025,,debt_consolidation,Debt consolidation,597xx,MT,13.88,0,Oct-07,0,11,0,74.2,14,1,INDIVIDUAL
16566,13026312,15058512,35000,35000,35000.0,0,19.47,1291.49,D,19,Consultant,1,2,144000.0,Verified,29,1,https://lendingclub.com/browse/loanDetail.action?loan_id=13026312,,debt_consolidation,Debt consolidation,756xx,TX,17.42,0,Feb-97,0,8,0,101.1,26,1,INDIVIDUAL
16592,10475026,12347138,8000,8000,8000.0,0,9.67,256.96,B,5,Operations Manager,10,2,85000.0,Not Verified,32,1,https://lendingclub.com/browse/loanDetail.action?loan_id=10475026,,credit_card,Credit card refinancing,136xx,NY,25.24,1,Dec-92,1,16,0,49.5,51,0,INDIVIDUAL
16598,75262935,80694737,12800,12800,12800.0,0,10.75,417.45,B,8,owner,6,2,140000.0,Source Verified,6,1,https://lendingclub.com/browse/loanDetail.action?loan_id=75262935,,debt_consolidation,Debt consolidation,350xx,AL,11.15,1,Apr-00,0,13,3,39.8,23,1,INDIVIDUAL
16610,11417129,13349326,23875,23875,23875.0,0,14.98,827.79,C,12,Psychometrist,3,0,52000.0,Verified,31,1,https://lendingclub.com/browse/loanDetail.action?loan_id=11417129,,credit_card,Credit card refinancing,631xx,MO,28.06,1,Sep-94,2,16,0,73.8,44,1,INDIVIDUAL
16611,75909141,81399853,20000,20000,20000.0,1,21.18,542.93,E,22,cheff,3,0,40800.0,Verified,5,1,https://lendingclub.com/browse/loanDetail.action?loan_id=75909141,,other,Other,331xx,FL,17.32,0,Apr-09,0,5,0,33.3,8,1,INDIVIDUAL
16621,38448232,41232092,21350,21350,21350.0,1,15.99,519.0,D,16,remote inpatient coder,4,2,90000.0,Source Verified,20,1,https://lendingclub.com/browse/loanDetail.action?loan_id=38448232,,debt_consolidation,Debt consolidation,138xx,NY,14.06,0,Jun-92,0,8,0,61.8,49,1,INDIVIDUAL
16635,12866285,14888415,23000,23000,23000.0,0,10.99,752.75,B,6,Teacher,8,2,70000.0,Source Verified,30,1,https://lendingclub.com/browse/loanDetail.action?loan_id=12866285,,debt_consolidation,Debt consolidation,852xx,AZ,17.52,0,Nov-00,2,19,0,19.5,50,1,INDIVIDUAL
16648,22464180,24786813,24000,24000,24000.0,1,20.2,638.57,E,22,Registered nurse,8,0,80000.0,Source Verified,26,1,https://lendingclub.com/browse/loanDetail.action?loan_id=22464180,,credit_card,Credit card refinancing,212xx,MD,12.51,0,Sep-02,4,11,0,67.5,22,0,INDIVIDUAL
16650,16371381,18473918,33000,33000,32950.0,1,23.43,938.1,F,25,Operations Manager,5,2,124000.0,Verified,28,1,https://lendingclub.com/browse/loanDetail.action?loan_id=16371381,,debt_consolidation,Debt consolidation,805xx,CO,30.06,0,Jul-03,2,21,1,64.6,34,0,INDIVIDUAL
16665,35949036,38650623,24000,24000,24000.0,1,8.67,494.27,B,5,Rig Superintendent,9,2,250000.0,Verified,21,1,https://lendingclub.com/browse/loanDetail.action?loan_id=35949036,,debt_consolidation,Debt consolidation,720xx,AR,12.88,0,Jul-01,0,9,0,45.2,24,1,INDIVIDUAL
16666,12826698,14848807,14350,14350,14350.0,1,21.18,389.7,E,22,Teacher,8,2,40122.0,Source Verified,30,1,https://lendingclub.com/browse/loanDetail.action?loan_id=12826698,,debt_consolidation,Debt consolidation,361xx,AL,21.92,1,Apr-94,2,17,0,69.3,59,0,INDIVIDUAL
16672,40117632,42982364,6575,6575,6575.0,0,15.99,231.36,D,16,machine operator,9,2,28000.0,Not Verified,20,1,https://lendingclub.com/browse/loanDetail.action?loan_id=40117632,,debt_consolidation,Debt consolidation,212xx,MD,28.26,1,Aug-98,1,11,0,61.4,22,1,INDIVIDUAL
16677,49227787,52536513,4200,4200,4200.0,0,13.99,143.47,C,13,Regional Sales Manager,1,2,240000.0,Source Verified,16,1,https://lendingclub.com/browse/loanDetail.action?loan_id=49227787,,debt_consolidation,Debt consolidation,554xx,MN,19.79,1,Sep-93,0,15,0,96.9,23,0,INDIVIDUAL
16680,13346819,15389042,15000,15000,15000.0,1,26.06,449.55,G,34,Letter Carrier,10,0,60000.0,Verified,30,1,https://lendingclub.com/browse/loanDetail.action?loan_id=13346819,,moving,Moving and relocation,902xx,CA,20.66,0,Nov-96,3,11,1,22.8,44,1,INDIVIDUAL
16685,1340934,1585491,3625,3625,3625.0,0,14.65,125.33,C,11,Macys,4,0,24000.0,Verified,51,1,https://lendingclub.com/browse/loanDetail.action?loan_id=1340934,"Borrower added on 06/05/12 > I Have three credit cards with high interest rate I pay every month but the amount I owe is not going down, this loan is gonna help me a lot to pay then off and been in a better financial condition.<br>",credit_card,Pay Off Credit Cards,330xx,FL,24.34,0,Oct-07,0,10,0,69.0,11,0,INDIVIDUAL
16692,48666153,51914937,20000,20000,20000.0,0,12.69,670.74,C,11,cpo,3,0,75000.0,Source Verified,16,1,https://lendingclub.com/browse/loanDetail.action?loan_id=48666153,,debt_consolidation,Debt consolidation,330xx,FL,10.41,0,Jun-01,0,14,0,63.2,33,0,INDIVIDUAL
16694,11717423,13689600,13000,13000,13000.0,0,11.99,432.0,B,7,Payroll Administration,10,2,58500.0,Verified,31,1,https://lendingclub.com/browse/loanDetail.action?loan_id=11717423,"Borrower added on 02/11/14 > Well where to to start?? I have been working Extra every weekend to just keep up with monthly Payments, My loan is to Pay of Vehicle/ Credit Card Account and Home Mortgage just to get ahead and at least enjoy my weekends off!!!<br>",debt_consolidation,Debt consolidation,751xx,TX,25.87,1,Apr-96,0,16,0,52.6,35,0,INDIVIDUAL
16708,7075227,8737374,20125,20125,20100.0,1,25.8,600.13,G,30,citibank n.a,10,1,57300.0,Verified,36,1,https://lendingclub.com/browse/loanDetail.action?loan_id=7075227,"Borrower added on 08/30/13 > have coop owned free and clear, i wanted to do some upgrades to kitchen and bath, and resale the unit<br>",home_improvement,rehab loan,112xx,NY,4.91,1,Mar-02,3,12,0,34.6,27,0,INDIVIDUAL
16718,52046313,55476026,5500,5500,5500.0,0,14.65,189.7,C,14,Medical Assistant,1,0,20640.0,Source Verified,15,1,https://lendingclub.com/browse/loanDetail.action?loan_id=52046313,"Borrower added on 09/03/12 > I was unemployed for a year and a half, so used my credit card as my emergency fund.  I have now been gainfully employed for 2 years, and am ready to consolidate and eliminate this debt once and for all!<br>",credit_card,Credit card refinancing,328xx,FL,16.3,0,Feb-10,1,6,0,61.1,6,0,INDIVIDUAL
16719,33131442,35774760,10800,10800,10800.0,1,14.99,256.85,C,14,Member Advisor,1,0,35360.0,Source Verified,22,1,https://lendingclub.com/browse/loanDetail.action?loan_id=33131442,,debt_consolidation,Debt consolidation,550xx,MN,31.71,0,Sep-05,0,13,0,59.0,16,1,INDIVIDUAL
16720,25937218,28390217,15750,15750,15750.0,1,15.61,379.32,D,15,Supervisor,3,0,36000.0,Verified,24,1,https://lendingclub.com/browse/loanDetail.action?loan_id=25937218,,debt_consolidation,Debt consolidation,912xx,CA,34.15,0,Nov-04,0,8,0,71.6,28,0,INDIVIDUAL
16734,23733336,26106269,16175,16175,16175.0,1,14.99,384.66,C,14,medical record,10,0,45000.0,Source Verified,25,1,https://lendingclub.com/browse/loanDetail.action?loan_id=23733336,Borrower added on 10/31/12 > Consolidate debts into one payment.<br>,debt_consolidation,Debt consolidation,920xx,CA,30.62,0,May-99,0,15,0,37.9,24,0,INDIVIDUAL
16740,1062401,1294263,10000,10000,10000.0,0,12.69,335.42,B,9,daja ventures,6,1,36000.0,Verified,57,1,https://lendingclub.com/browse/loanDetail.action?loan_id=1062401,Borrower added on 12/08/11 > Thank you for inviting me to consider this loan application. This will help me consolidate my credit card balances. The payment is very affordable and the interest rate is acceptable. <br>,debt_consolidation,Debt Consolidation,917xx,CA,15.43,0,Dec-06,3,8,0,65.3,10,0,INDIVIDUAL
16818,12636173,14638335,3500,3500,3500.0,0,13.65,119.1,C,10,paramedic,10,0,55000.0,Not Verified,30,1,https://lendingclub.com/browse/loanDetail.action?loan_id=12636173,,debt_consolidation,Debt consolidation,103xx,NY,9.83,5,Nov-92,2,10,0,67.9,17,0,INDIVIDUAL
16820,36411523,39132943,3000,3000,3000.0,0,9.49,96.18,B,6,Law Clerk,1,1,40000.0,Verified,21,1,https://lendingclub.com/browse/loanDetail.action?loan_id=36411523,,credit_card,Credit card refinancing,946xx,CA,17.31,0,Jun-05,1,13,0,12.6,19,0,INDIVIDUAL
16822,507217,654107,12000,12000,12000.0,0,14.96,415.85,D,16,BNP Paribas Fortis Bank,4,0,235000.0,Not Verified,77,1,https://lendingclub.com/browse/loanDetail.action?loan_id=507217,"Borrower added on 04/21/10 > This summer I helped my younger brother get an internship in NYC between his Junior and Senior year in school, however due to the job market he has to take it as an unpaid opportunity. He usually works in the summer to help pay for his tuition and cost of living. I am planning on assisting him with his school costs this summer for his credits as well as this fall and winter as needed. <br/><br/>I have recently paid down some of my debt, however still have a considerable amount due to a bad bonus just over a year ago. I can more than manage my payments in reducing debt as well as my cost of living on my salary, and looking forward to some good years ahead will be able to pre-pay my existing debt as well as this loan well in advance. <br/><br/>Our Company just completed a merger in which we were acquired. My Industry team was not currently present in North America for the new institution as was viewed as a very valuable addition / bolt on to the existing platform. We have already been integrated into the new Company and next year will receive bonus Compensation from our new employer versus the European government in which we were owned previously for a period of time. <br/><br/>I also note that 1.5 years ago I took a loan through Lending Club to help a friend for a different situation and have since (recently) completely pre-paid the balance roughly 50% ahead of schedule. <br/><br/>Pending I pay off other debt first it would only be due to the fact that some may have higher interest rates as well as the benefit of the amortizing nature of this piece of debt. <br/><br/>Thanks much both myself and my brother will appreciate the support.<br/> Borrower added on 04/21/10 > Test<br/>",educational,Helping Younger Brother - School,111xx,NY,9.91,0,Jan-00,0,4,0,97.5,12,0,INDIVIDUAL
16825,1026174,1255326,16500,16500,16400.0,1,11.71,364.7,B,7,"Russ Hadick & Associates, Inc",4,2,33000.0,Verified,58,1,https://lendingclub.com/browse/loanDetail.action?loan_id=1026174,Borrower added on 11/15/11 > am buying a hospitality recruiting franchise through a 20 year old hospitality company. I am using this money to pay startup and franchise fees which will immediatly allow access to active clients with current job orders in  the database. The parent company provides training and ongoing support.   I am also free to develop my own clients who are not already signed with the parent company. I have 4 years recruiting experience.<br> Borrower added on 11/16/11 > I have been very dilgent  in debt/loan repayment over the past 10 years. I currently maintain a very good credit rating.<br>,small_business,Small Business,454xx,OH,12.45,0,Sep-89,1,11,0,14.2,22,0,INDIVIDUAL
16828,12335688,14327847,29325,29325,29325.0,1,25.83,874.91,G,31,Claims Adjuster,10,2,101000.0,Verified,31,1,https://lendingclub.com/browse/loanDetail.action?loan_id=12335688,Borrower added on 04/19/12 > I want anyone who's thinking of funding my loan request to know that I'm not a risk and have always paid my bills. I want to consolidate my higher interest credit cards into on easy payment to save on interest. None are delinquent and all are current on payments. I do have the income to repay.<br>,credit_card,Credit card refinancing,741xx,OK,18.55,0,May-88,1,15,1,85.2,28,1,INDIVIDUAL
16853,15581028,17673454,9150,9150,9150.0,0,17.57,328.83,D,16,Underwriter,10,2,63000.0,Not Verified,28,1,https://lendingclub.com/browse/loanDetail.action?loan_id=15581028,,debt_consolidation,Debt consolidation,225xx,VA,15.72,2,May-99,1,11,2,40.4,35,1,INDIVIDUAL
16854,67755887,72610612,16800,16800,16800.0,1,10.64,362.65,B,8,Head of Office,1,0,155000.0,Source Verified,9,1,https://lendingclub.com/browse/loanDetail.action?loan_id=67755887,,major_purchase,Major purchase,100xx,NY,5.58,0,May-98,0,9,1,57.5,11,1,INDIVIDUAL
16856,30696234,33249441,4000,4000,4000.0,0,16.29,141.07,D,16,Hospital Administration,3,2,103000.0,Verified,23,1,https://lendingclub.com/browse/loanDetail.action?loan_id=30696234,,debt_consolidation,Debt consolidation,786xx,TX,15.98,0,May-01,1,13,1,13.2,19,1,INDIVIDUAL
16876,5967448,7439892,20000,20000,20000.0,1,21.15,542.89,E,21,"Musick, Peeler & Garrett",10,2,52000.0,Source Verified,38,1,https://lendingclub.com/browse/loanDetail.action?loan_id=5967448,Borrower added on 06/24/13 > Would like to consolidate debt.<br>,debt_consolidation,Debt consolidation,917xx,CA,18.55,0,Sep-88,0,9,0,82.9,16,0,INDIVIDUAL
16893,48645998,51894764,17600,17600,17600.0,1,16.99,437.19,D,17,Co-manager,2,2,46000.0,Source Verified,16,1,https://lendingclub.com/browse/loanDetail.action?loan_id=48645998,,credit_card,Credit card refinancing,452xx,OH,15.91,0,Jan-01,1,10,1,77.2,18,0,INDIVIDUAL
16897,47531521,50750253,1500,1500,1500.0,0,15.61,52.72,D,15,Customer Service Rep,1,0,23920.0,Not Verified,16,1,https://lendingclub.com/browse/loanDetail.action?loan_id=47531521,,debt_consolidation,Debt consolidation,482xx,MI,7.04,0,Sep-11,2,7,0,32.8,8,0,INDIVIDUAL
16898,6940025,8582028,21000,21000,21000.0,1,16.78,519.47,C,14,Knowledge Momentum LLC,1,0,83200.0,Source Verified,36,1,https://lendingclub.com/browse/loanDetail.action?loan_id=6940025,,debt_consolidation,consolidation1,282xx,NC,12.77,0,Sep-93,0,8,0,89.2,18,0,INDIVIDUAL
16900,36361152,39092539,28000,28000,28000.0,0,7.49,871.14,A,3,Manager,4,2,70000.0,Source Verified,21,1,https://lendingclub.com/browse/loanDetail.action?loan_id=36361152,,credit_card,Credit card refinancing,770xx,TX,15.97,0,May-02,1,15,0,76.4,24,0,INDIVIDUAL
16904,63410058,67752916,12650,12650,12650.0,0,16.55,448.09,D,16,,-1,0,35160.0,Verified,10,1,https://lendingclub.com/browse/loanDetail.action?loan_id=63410058,,debt_consolidation,Debt consolidation,801xx,CO,34.8,0,Jul-99,0,25,0,56.9,32,1,INDIVIDUAL
16917,36128886,38840464,8125,8125,8125.0,0,15.59,284.02,D,15,CPL,4,1,40000.0,Not Verified,22,1,https://lendingclub.com/browse/loanDetail.action?loan_id=36128886,,debt_consolidation,Debt consolidation,070xx,NJ,20.4,1,Feb-11,1,8,0,28.9,11,1,INDIVIDUAL
16936,6580664,8132677,8000,8000,8000.0,0,10.64,260.51,B,6,Cosmopolitan Hotel,1,0,45000.0,Not Verified,37,1,https://lendingclub.com/browse/loanDetail.action?loan_id=6580664,,debt_consolidation,Debt consolidation,113xx,NY,12.48,0,Jul-05,2,15,0,59.9,25,0,INDIVIDUAL
16985,43809603,46826332,14000,14000,14000.0,1,15.61,337.52,D,15,Teacher,10,2,56471.0,Verified,18,1,https://lendingclub.com/browse/loanDetail.action?loan_id=43809603,,credit_card,Credit card refinancing,129xx,NY,16.37,0,Feb-00,1,10,0,101.7,27,0,INDIVIDUAL
16987,37691252,40464189,12000,12000,12000.0,0,8.19,376.9,A,4,Teacher,9,1,77500.0,Source Verified,21,1,https://lendingclub.com/browse/loanDetail.action?loan_id=37691252,,debt_consolidation,Debt consolidation,107xx,NY,16.9,0,Mar-93,1,17,2,40.4,24,0,INDIVIDUAL
16993,5763726,7195489,15625,15625,15625.0,0,16.29,551.69,C,13,Leisure Craft Pools,10,0,36000.0,Verified,38,1,https://lendingclub.com/browse/loanDetail.action?loan_id=5763726,,credit_card,Credit Card refinance,140xx,NY,23.47,0,Dec-00,2,11,1,29.7,14,1,INDIVIDUAL
16996,7046542,8708672,10200,10200,10200.0,0,11.55,336.55,B,7,Production Speacialist III,-1,0,32856.0,Verified,36,1,https://lendingclub.com/browse/loanDetail.action?loan_id=7046542,,debt_consolidation,credit card consolidation,334xx,FL,20.68,0,Dec-03,0,7,0,60.7,16,0,INDIVIDUAL
17012,18925652,21178317,32400,32400,32400.0,1,18.99,840.35,E,20,CT Technologist,9,2,97000.0,Verified,27,1,https://lendingclub.com/browse/loanDetail.action?loan_id=18925652,,credit_card,Credit card refinancing,275xx,NC,7.67,0,Feb-99,2,12,1,25.9,18,1,INDIVIDUAL
17014,67615458,72479172,16500,16500,16500.0,1,18.99,428.2,E,22,asst.supervisor transportation,10,2,78000.0,Source Verified,9,1,https://lendingclub.com/browse/loanDetail.action?loan_id=67615458,,debt_consolidation,Debt consolidation,070xx,NJ,15.48,1,Mar-04,2,13,0,51.7,25,1,INDIVIDUAL
17017,1534544,1799329,4950,4950,4950.0,0,14.33,170.19,C,10,Leading Edge Leadership Group,6,1,35000.0,Not Verified,48,1,https://lendingclub.com/browse/loanDetail.action?loan_id=1534544,Borrower added on 09/11/12 > I NEED MY LOAN FOR DEBT CONSOLIDATION<br>,debt_consolidation,Debt consolidation,331xx,FL,8.72,0,Jun-01,2,11,0,60.1,15,0,INDIVIDUAL
17019,68716260,73640140,17200,17200,17200.0,1,22.45,479.24,F,25,Sales associate,7,0,39100.0,Verified,8,1,https://lendingclub.com/browse/loanDetail.action?loan_id=68716260,,debt_consolidation,Debt consolidation,328xx,FL,30.14,0,Feb-04,0,9,1,20.3,17,1,INDIVIDUAL
